model,source_persona,target_persona,layer_idx,seed,D_raw
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,16,0,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,16,0,0.8
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,16,0,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,16,1,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,16,1,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,16,1,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,16,2,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,16,2,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,16,2,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,24,0,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,24,0,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,24,0,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,24,1,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,24,1,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,24,1,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,24,2,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,24,2,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,24,2,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,8,0,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,8,0,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,8,0,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,8,1,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,8,1,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,8,1,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,virtue_phronesis,8,2,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_integrity,8,2,0.8
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,virtue_phronesis,8,2,0.6
